REF_DATE,GEO,DGUID,Capital investment and capital sales,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2001,Canada,2011A000011124,Number of farms,Number,223,units ,0,v42198131,1.1,156645,A,,,0
2001,Canada,2011A000011124,Total capital investments,Dollars,81,units ,0,v42198132,1.2,52651,A,,,0
2001,Canada,2011A000011124,"Land and buildings, investment",Dollars,81,units ,0,v42198133,1.3,8379,B,,,0
2001,Canada,2011A000011124,"Land improvements, investment",Dollars,81,units ,0,v42198134,1.4,1510,B,,,0
2001,Canada,2011A000011124,"House construction, investment",Dollars,81,units ,0,v42198135,1.5,1965,B,,,0
2001,Canada,2011A000011124,"Manure storage construction, investment",Dollars,81,units ,0,v42198136,1.6,732,D,,,0
2001,Canada,2011A000011124,"Pesticide, chemical and fuel storage construction, investment",Dollars,81,units ,0,v42198137,1.7,153,D,,,0
2001,Canada,2011A000011124,"Other building construction, investment",Dollars,81,units ,0,v42198138,1.8,7106,B,,,0
2001,Canada,2011A000011124,"Environmental protection improvements, investment",Dollars,81,units ,0,v42198139,1.9,206,D,,,0
2001,Canada,2011A000011124,"Breeding and replacement livestock, investment",Dollars,81,units ,0,v42198140,1.1,3674,B,,,0
2001,Canada,2011A000011124,"Quota, investment",Dollars,81,units ,0,v42198141,1.11,4100,C,,,0
2001,Canada,2011A000011124,"Farm machinery and equipment, investment",Dollars,81,units ,0,v42198142,1.12,22873,A,,,0
2001,Canada,2011A000011124,"Other farm assets, investment",Dollars,81,units ,0,v42198143,1.13,1952,B,,,0
2001,Canada,2011A000011124,Total capital sales,Dollars,81,units ,0,v42198144,1.14,16315,B,,,0
2001,Canada,2011A000011124,"Land and buildings, sales",Dollars,81,units ,0,v42198145,1.15,3009,C,,,0
2001,Canada,2011A000011124,"Farm machinery and equipment, traded in or sold",Dollars,81,units ,0,v65212030,1.22,6106,B,,,0
2001,Canada,2011A000011124,"Machinery and equipment traded in, sales",Dollars,81,units ,0,v42198146,1.16,4971,B,,t,0
2001,Canada,2011A000011124,"Machinery and equipment sold outright, sales",Dollars,81,units ,0,v42198147,1.17,1135,B,,t,0
2001,Canada,2011A000011124,"Quota, sales",Dollars,81,units ,0,v42198148,1.18,3161,C,,,0
2001,Canada,2011A000011124,"Breeding and replacement livestock, sales",Dollars,81,units ,0,v42198149,1.19,3646,C,,,0
2001,Canada,2011A000011124,"Other farm assets, sales",Dollars,81,units ,0,v42198150,1.2,394,D,,,0
2001,Canada,2011A000011124,Net capital investments,Dollars,81,units ,0,v42198151,1.21,36335,A,,,0
2001,Atlantic provinces,2011A00011,Number of farms,Number,223,units ,0,v42198152,2.1,4650,A,,,0
2001,Atlantic provinces,2011A00011,Total capital investments,Dollars,81,units ,0,v42198153,2.2,52739,A,,,0
2001,Atlantic provinces,2011A00011,"Land and buildings, investment",Dollars,81,units ,0,v42198154,2.3,5665,C,,,0
2001,Atlantic provinces,2011A00011,"Land improvements, investment",Dollars,81,units ,0,v42198155,2.4,2110,B,,,0
2001,Atlantic provinces,2011A00011,"House construction, investment",Dollars,81,units ,0,v42198156,2.5,911,D,,,0
2001,Atlantic provinces,2011A00011,"Manure storage construction, investment",Dollars,81,units ,0,v42198157,2.6,1490,C,,,0
2001,Atlantic provinces,2011A00011,"Pesticide, chemical and fuel storage construction, investment",Dollars,81,units ,0,v42198158,2.7,219,E,,,0
2001,Atlantic provinces,2011A00011,"Other building construction, investment",Dollars,81,units ,0,v42198159,2.8,10414,B,,,0
2001,Atlantic provinces,2011A00011,"Environmental protection improvements, investment",Dollars,81,units ,0,v42198160,2.9,281,C,,,0
2001,Atlantic provinces,2011A00011,"Breeding and replacement livestock, investment",Dollars,81,units ,0,v42198161,2.1,2067,B,,,0
2001,Atlantic provinces,2011A00011,"Quota, investment",Dollars,81,units ,0,v42198162,2.11,6283,C,,,0
2001,Atlantic provinces,2011A00011,"Farm machinery and equipment, investment",Dollars,81,units ,0,v42198163,2.12,21828,A,,,0
2001,Atlantic provinces,2011A00011,"Other farm assets, investment",Dollars,81,units ,0,v42198164,2.13,1470,D,,,0
2001,Atlantic provinces,2011A00011,Total capital sales,Dollars,81,units ,0,v42198165,2.14,14963,B,,,0
2001,Atlantic provinces,2011A00011,"Land and buildings, sales",Dollars,81,units ,0,v42198166,2.15,2296,D,,,0
2001,Atlantic provinces,2011A00011,"Farm machinery and equipment, traded in or sold",Dollars,81,units ,0,v65212031,2.22,5537,B,,,0
2001,Atlantic provinces,2011A00011,"Machinery and equipment traded in, sales",Dollars,81,units ,0,v42198167,2.16,4409,B,,t,0
2001,Atlantic provinces,2011A00011,"Machinery and equipment sold outright, sales",Dollars,81,units ,0,v42198168,2.17,1128,D,,t,0
2001,Atlantic provinces,2011A00011,"Quota, sales",Dollars,81,units ,0,v42198169,2.18,3911,D,,,0
2001,Atlantic provinces,2011A00011,"Breeding and replacement livestock, sales",Dollars,81,units ,0,v42198170,2.19,2940,D,,,0
2001,Atlantic provinces,2011A00011,"Other farm assets, sales",Dollars,81,units ,0,v42198171,2.2,279,D,,,0
2001,Atlantic provinces,2011A00011,Net capital investments,Dollars,81,units ,0,v42198172,2.21,37775,B,,,0
2001,Quebec,2011A000224,Number of farms,Number,223,units ,0,v42198173,3.1,22710,A,,,0
